"redshift","g.r","g.r_err","fracdeV","type"
0.0815,0.503,0.017,0,0
0.0587,0.48,0.016,0.48,0
0.0529,0.651,0.017,0.12,0
0.0537,0.49,0.019,0.07,0
0.0361,0.601,0.199,0,0
0.0765,0.532,0.019,0.11,0
0.0688,0.574,0.019,0.13,0
0.0392,0.565,0.015,0.19,0
0.0674,0.626,0.018,0.42,0
0.0732,0.552,0.021,0,0
0.0629,0.6,0.019,0,0
0.0674,0.506,0.02,0,0
0.0439,0.464,0.018,0.19,0
0.0715,0.56,0.018,0.06,0
0.0773,0.664,0.018,0.17,0
0.0453,0.47,0.016,0,0
0.0493,0.345,0.037,0.49,0
0.048,0.331,0.022,0,0
0.077,0.605,0.016,0.43,0
0.0398,0.62,0.032,0.26,0
0.0823,0.644,0.024,0,0
0.0449,0.548,0.015,0.42,0
0.0707,0.598,0.019,0.36,0
0.05,0.525,0.016,0.16,0
0.0439,0.461,0.02,0.06,0
0.0447,0.49,0.02,0.09,0
0.0448,0.327,0.025,0.28,0
0.0788,0.587,0.017,0.18,0
0.0793,0.534,0.019,0.03,0
0.0577,0.603,0.021,0.18,0
0.0558,0.557,0.017,0.13,0
0.0506,0.529,0.018,0.09,0
0.0737,0.543,0.024,0,0
0.0649,0.505,0.022,0,0
0.0575,0.434,0.017,0,0
0.0405,0.632,0.015,0.22,0
0.0481,0.47,0.018,0.27,0
0.0705,0.656,0.019,0.33,0
0.0455,0.567,0.02,0.07,0
0.0479,0.324,0.026,0.3,0
0.0444,0.586,0.017,0,0
0.0671,0.479,0.025,0.29,0
0.0692,0.571,0.026,0.03,0
0.0614,0.554,0.017,0.04,0
0.063,0.415,0.025,0.33,0
0.0467,0.528,0.016,0.22,0
0.0682,0.509,0.026,0.13,0
0.054,0.579,0.017,0.28,0
0.0551,0.532,0.027,0,0
0.0382,0.476,0.019,0.07,0
0.0598,0.585,0.017,0.24,0
0.0425,0.224,0.019,0.35,0
0.0444,0.508,0.015,0.43,0
0.0386,0.481,0.018,0.19,0
0.0648,0.424,0.019,0.27,0
0.0371,0.409,0.018,0.28,0
0.049,0.537,0.016,0,0
0.0416,0.541,0.016,0,0
0.0464,0.541,0.02,0.26,0
0.0436,0.48,0.022,0.39,0
0.0552,0.582,0.02,0.23,0
0.0426,0.487,0.017,0.11,0
0.0611,0.635,0.021,0.09,0
0.0411,0.525,0.017,0,0
0.0654,0.616,0.015,0.26,0
0.0439,0.573,0.016,0.31,0
0.0644,0.503,0.018,0.24,0
0.0451,0.572,0.017,0,0
0.0644,0.61,0.02,0.2,0
0.0447,0.506,0.016,0.1,0
0.0725,0.364,0.024,0.33,0
0.038,0.549,0.024,0.07,0
0.0755,0.343,0.021,0.24,0
0.0536,0.402,0.02,0,0
0.0377,0.488,0.016,0,0
0.0468,0.515,0.015,0.11,0
0.0591,0.449,0.025,0.22,0
0.0764,0.503,0.027,0,0
0.0768,0.451,0.021,0.42,0
0.0704,0.398,0.038,0.22,0
0.0444,0.382,0.018,0,0
0.0559,0.509,0.016,0.01,0
0.0306,0.494,0.015,0,0
0.063,0.531,0.018,0.26,0
0.0511,0.589,0.019,0.23,0
0.0736,0.489,0.017,0,0
0.0617,0.378,0.018,0.01,0
0.0726,0.572,0.04,0.1,0
0.038,0.535,0.016,0.31,0
0.0538,0.53,0.015,0.04,0
0.0443,0.585,0.019,0.01,0
0.0432,0.532,0.019,0.23,0
0.0823,0.531,0.021,0.02,0
