NSAID,RA,DEC,DISTANCE,DISTANCE_ERR,INCLINATION,V_W20I,V_W20I_ERR,R_EFF,R_EFF_ERR,M_HI,M_HI_ERR,M_STAR,M_STAR_ERR,SOURCE
74233,10:07:10.91,+12:39:06.08,41.683319091796875,2.000777006149292,37,124.2201156616211,2.490964889526367,2.900467,0.13922085,1.98297536E9,3.98467904E8,5.35181792E8,2.46504736E8,"           2"
74245,10:07:33.14,+13:06:22.76,40.88814926147461,1.9650360345840454,18,91.64836883544922,6.378284931182861,2.233495,0.10733913,7.673216E8,1.70425024E8,2.6573688E8,1.223984E8,"           2"
74252,10:08:50.09,+13:13:49.97,98.8736801147461,2.143744945526123,85,147.65428161621094,11.5433349609375,4.7290006,0.10253255,3.22354099E9,5.7440896E8,6.3138452E9,2.90815718E9,"           2"
74337,10:19:41.29,+12:50:31.45,142.35614013671875,2.143744945526123,90,209.56033325195312,94.04296112060547,7.863252,0.11841292,8.3001037E9,6.6023347E9,9.5621079E9,4.4043069E9,"           2"
74367,10:20:09.64,+13:19:46.72,123.69550323486328,2.143744945526123,34,139.39712524414062,3.5406715869903564,5.9557505,0.10321806,1.00740096E10,9.5006912E8,1.32679455E10,6.1112156E9,"           2"
74401,10:25:08.94,+13:36:05.13,82.15665435791016,1.4289788007736206,23,112.5753173828125,6.44212007522583,2.9176304,0.050747342,4.03894502E9,4.31611104E8,1.35535002E10,6.2427423E9,"           2"
74429,10:30:29.71,+13:03:16.79,106.9365005493164,2.143744945526123,60,136.62908935546875,13.30929183959961,3.460059,0.069363445,4.3739971E9,8.4802285E8,2.62536934E9,1.20924506E9,"           2"
74491,10:27:13.98,+13:44:31.84,171.8486785888672,2.143744945526123,69,96.47562408447266,18.768144607543945,5.4436345,0.06790721,6.8070354E9,1.54357683E9,2.15329792E10,9.9180902E9,"           2"
74528,10:37:05.41,+12:46:14.02,143.83033752441406,2.143744945526123,20,243.15008544921875,8.613363265991211,11.078257,0.16511784,1.17676575E10,1.0884E9,3.6319883E10,1.67289375E10,"           2"
74543,10:36:45.50,+12:37:37.16,144.1859130859375,2.143744945526123,76,84.6973876953125,21.106891632080078,2.413374,0.03588186,4.5540388E9,1.3335977E9,1.18094426E9,5.4394291E8,"           2"
74558,10:33:49.98,+12:52:42.03,108.1260757446289,2.143744945526123,47,250.4239501953125,4.086015224456787,7.698888,0.1526408,1.82310789E10,1.67894336E9,4.5504799E10,2.09595105E10,"           2"
74631,10:48:14.04,+13:13:01.30,81.44163513183594,1.3932453393936157,44,207.00111389160156,24.45964241027832,1.6149253,0.02762699,2.83748403E9,4.67354016E8,1.08745021E10,5.0087956E9,"           2"
74640,10:46:34.95,+13:45:03.15,43.55095291137695,2.4654502868652344,32,245.5043487548828,2.8279266357421875,7.130245,0.40364823,8.2469519E9,1.92389581E9,6.6473718E10,3.06177946E10,"           2"
74650,10:45:19.46,+12:38:39.26,173.68894958496094,2.143744945526123,72,112.22918701171875,27.86021614074707,8.579621,0.105893426,1.01924588E10,1.69565555E9,5.7763553E10,2.66058936E10,"           2"
74659,10:42:57.44,+13:32:54.66,92.85855102539062,1.857816457748413,90,105.8048324584961,3.9670796394348145,7.7904887,0.15586391,4.87475E9,5.4819014E8,1.83530035E9,8.4533933E8,"           2"
74713,10:48:07.61,+14:41:35.84,94.42512512207031,2.143744945526123,69,101.02579498291016,32.635986328125,2.1471822,0.048747737,2.15855488E9,8.2208294E8,1.15158374E10,5.3041946E9,"           2"
74719,10:48:11.13,+14:03:14.60,92.06712341308594,1.8317134380340576,32,69.56694793701172,8.527616500854492,2.0920544,0.041622285,1.39251866E9,2.88194112E8,9.6940346E8,4.46507232E8,"           2"
74738,10:58:32.10,+13:55:50.32,146.9449920654297,2.143744945526123,51,82.06483459472656,9.067395210266113,7.051064,0.10286627,3.72640256E9,7.7410842E8,3.19188608E9,1.47018278E9,"           2"
74766,10:56:15.47,+15:13:24.68,116.95108795166016,2.143744945526123,67,157.5148162841797,2.1790285110473633,10.715032,0.1964094,1.07128566E10,1.05186752E9,1.14267904E10,5.2631798E9,"           2"
