"index","SFR","Z","Mstar","Xmol","Mgas","Mdm","T"
405,0,0,0,9.266518e-05,321103.49,3650212.5,866.84416
406,2.9348772e-06,1.47599942622951e-05,1.8037009e-08,0.0016675851,318483.35,3552488.1,835.93758
407,1.9904674e-07,0,0,0.00010601137,277312.82,3433016.6,856.77049
408,0,0,0,4.2082227e-05,249615.4,3575336.3,1024.6724
409,4.7080758e-06,3.13318508196721e-05,3.1510485e-08,0.0074877083,259494.59,3217747.6,711.5755
410,0,0,0,3.8265383e-05,208238.7,3061388.6,851.06616
411,0,0,0,2.8658932e-05,176560.33,2788310.9,888.19785
412,2.2131053e-07,0,0,0.0001926238,170165.42,2460452.4,721.72162
413,0,0,0,6.1877207e-05,166523.2,2386677.4,815.9818
414,0,0,0,4.1630326e-05,173172.27,2315930.4,868.24006
415,0,0,0,1.8765477e-05,129381.58,2396862.8,894.64906
416,0,0.000153061,0,0.012252423,131277.47,2366031.4,898.05522
417,0,0,0,2.227559e-05,117311.61,2436227.8,822.06737
