"bpt","logM200","r_r200","zoo"
1,-0.199258517,-0.970702416,"E"
1,-0.071477421,-0.993784448,"E"
0,0.046301915,-0.959732358,"E"
1,-1.51131688,-0.916221221,"E"
1,-1.375086022,-0.956278784,"E"
1,-0.226366734,-0.438462749,"E"
1,-0.893104695,-0.9808585,"E"
1,-0.893104695,-0.983622804,"E"
0,-0.058820023,-0.728756979,"E"
1,-1.118972009,-0.744064539,"E"
1,-1.336148138,-0.943351387,"E"
1,0.650546126,-0.70807384,"E"
0,-1.336148138,-0.89465167,"E"
0,1.990954302,-0.914491696,"E"
1,-1.029370042,-0.472981822,"E"
0,-0.741077955,-0.807173158,"E"
0,-0.793914835,-1.000455259,"E"
1,-1.07606791,-1.020093541,"E"
1,-0.941044161,-1.012388999,"E"
0,-0.027331726,-0.909762009,"E"
1,1.894351104,-0.596703034,"E"
1,0.764462714,-0.620046062,"E"
0,-0.62385044,-0.799219877,"E"
0,-1.153598789,-0.824741473,"E"
0,-0.493689615,-0.951721194,"E"
0,1.78822899,-0.817037655,"E"
0,1.78822899,-0.976253287,"E"
0,1.78822899,-0.891760208,"E"
1,-0.782188634,-0.979929164,"E"
1,1.28110531,-0.777445854,"E"
0,1.28110531,-0.780068414,"E"
0,-1.507281687,-0.969503756,"E"
0,-0.283066362,-0.952514954,"E"
1,-1.516766114,-0.821490559,"E"
1,-1.590641177,-0.446872457,"E"
0,-1.576811158,0.897744528,"E"
1,-1.592400107,-0.171915451,"E"
1,-1.592400107,0.116755497,"E"
1,-1.359255651,-0.244598103,"E"
1,-1.485277817,0.280568174,"E"
1,-1.513627631,2.051676993,"E"
1,-1.475345035,-0.291033751,"E"
0,-1.265928891,1.314434635,"E"
0,-1.265928891,1.692667478,"E"
1,-1.380086901,0.735779999,"E"
1,-1.434441289,1.453131253,"E"
1,-1.217851469,1.044276863,"E"
1,-0.980671821,1.618393397,"E"
1,-0.849683264,-0.103521298,"E"
1,-0.849683264,-0.070115481,"E"
1,-1.108763316,1.194190021,"E"
1,-1.173395374,1.964803777,"E"
1,-0.974601788,0.893614977,"E"
1,-1.294520127,2.148574398,"E"
0,-1.048649295,1.306570254,"E"
1,-1.155392208,0.075683775,"E"
0,-1.216713338,-0.294292784,"E"
1,-1.153598789,1.471456518,"E"
0,-0.973394679,1.212777109,"E"
1,-1.293071596,0.200035692,"E"
0,-1.138078818,1.282185545,"E"
0,-1.138078818,1.92805828,"E"
1,-1.091001572,1.061766124,"E"
0,-1.060099585,-0.026483774,"E"
1,-1.147804666,0.040608634,"E"
1,-0.861099065,1.052839304,"E"
1,-1.26948124,-0.150426306,"E"
0,-1.062893179,2.465946866,"E"
1,-0.999226809,0.684226411,"E"
0,-0.892759807,-0.126912633,"E"
1,-0.992363533,1.909149115,"E"
1,-0.992363533,2.421932104,"E"
1,-0.912970258,0.112195435,"E"
