"CID","IAUName","Type","z","Color","e_Color","Stretch","e_Stretch","HR","e_HR","DR8-OBJID","BPT","LogMass","e_LogMass","LogMet","e_LogMet","LogSSFR","e_LogSSFR","GFF","Source"
20084,"2007pd","S",0.14,0.14,0.03,0.07,0.29,0.1,0.08,1237666407363444736,1,9.19,0.1,8.71,0.05,-9.3,0.1,1.93,"BOSS"
20088,"...","S",0.24,-0.14,0.03,-0.22,0.22,0,0.08,1237663204919935232,2,11.38,0.11,9.05,0.06,-10.47,0.11,0.22,"BOSS"
20111,"2007pw","S",0.24,0.01,0.04,0,0.61,0.03,0.14,1237666408439940096,0,10.93,0.12,8.92,0.1,-11.02,0.18,0.23,"BOSS"
20125,"...","P",0.17,0.05,0.03,-0.74,0.22,-0.18,0.08,1237663785282371584,3,11.03,0.06,-999,-999,-999,-999,0.3,"BOSS"
20185,"...","P",0.25,0.06,0.08,0.56,1.16,0.66,0.24,1237678617419186176,1,10.55,0.08,8.94,0.04,-8.97,0.09,0.34,"BOSS"
20227,"2007qi","S",0.28,-0.15,0.04,-1.15,0.55,0.12,0.15,1237657190900433664,2,11.05,0.17,9.05,0.09,-10.23,0.19,0.16,"BOSS"
20232,"...","P",0.22,0.01,0.04,-1.05,0.56,-0.23,0.12,1237657190908297472,0,11.21,0.11,9.27,16.43,-8.71,0.12,0.28,"BOSS"
20364,"2007qo","S",0.22,0.04,0.02,0.31,0.74,-0.05,0.13,1237657069547815424,3,10.39,0.08,-999,-999,-999,-999,0.36,"BOSS"
20376,"2007re","S",0.21,0.16,0.04,-1.19,0.44,-0.45,0.11,1237663542604465664,3,10.72,0.14,-999,-999,-999,-999,0.33,"BOSS"
20467,"...","P",0.27,-0.07,0.04,0.96,0.54,0.29,0.14,1237663785279881472,10,9.91,0.11,8.84,0.08,-9.59,0.13,0.4,"BOSS"
20545,"...","P",0.19,0.17,0.03,-1.66,0.5,-0.15,0.1,1237663542609248768,3,10.52,0.08,-999,-999,-999,-999,0.22,"BOSS"
20663,"...","P",0.3,-0.06,0.06,-0.1,0.46,0.02,0.19,1237663204921377280,1,10.81,0.13,8.85,0.06,-9.22,0.14,0.29,"BOSS"
20687,"2007ri","S",0.19,0.14,0.05,-0.65,0.74,-0.2,0.14,1237666340799643904,1,10.98,0.07,9.12,0.03,-9.89,0.07,0.2,"BOSS"
20721,"...","P",0.21,0.22,0.05,-0.5,0.82,-0.01,0.16,1237663542606103296,1,10.47,0.08,9.01,0.02,-9.28,0.08,0.33,"SDSS"
20744,"...","P",0.28,0.01,0.05,-0.41,0.89,-0.27,0.19,1237666408436531456,3,11.03,0.12,-999,-999,-999,-999,0.33,"BOSS"
20768,"2007qq","S",0.24,0.07,0.06,-0.78,1.17,0.32,0.2,1237657584950379264,0,11.02,0.09,-999,-999,-10.12,0.14,0.12,"BOSS"
21858,"...","P",0.27,0.13,0.08,-1.58,1.43,0.06,0.32,1237657192516419840,3,11.14,0.1,-999,-999,-999,-999,0.24,"BOSS"
