"name","zcmb","zhel","dz","mb","dmb","x1","dx1","color","dcolor","X3rdvar","d3rdvar","tmax","dtmax","cov_m_s","cov_m_c","cov_s_c","set","ra","dec","biascor"
"SDSS17215",0.18079,0.18136,0,20.579248,0.117616,0.282892,0.417374,0.015433,0.037024,11.24,0.1015,54350.994124,0.721577,0.004137,0.001134,0.000941,2,54.92638,1.092299,-0.001081
"SDSS17218",0.17757,0.179,0,20.428083,0.114576,-0.760469,0.402479,-0.084884,0.031246,10.015,0.264,54349.497744,0.543868,0.003841,0.000708,0.000631,2,-3.828185,-0.030055,-0.001101
"SDSS17220",0.17066,0.172,0,20.55707,0.115012,1.820322,0.283743,0.150278,0.031415,10.466,0.0555,54356.922823,0.28772,0.004936,0.000877,0.000812,2,9.701524,-0.179249,-0.001141
"SDSS17223",0.23381,0.235,0,20.863174,0.118911,1.013494,0.666082,-0.070271,0.042764,5,10,54347.0041,1.623021,-0.010717,0.00142,-0.011397,2,26.361374,-0.019418,-0.000647
"SDSS17240",0.07153,0.07275,0,18.172291,0.157968,-1.466919,0.368053,-0.121433,0.057874,10.813,0.1205,54337.325699,1.137239,0.018415,0.005866,0.005126,2,8.640957,-1.217578,-0.000787
"SDSS17253",0.15463,0.156,0,19.970376,0.1715,-0.196987,0.420496,-0.122244,0.065854,10.642,0.259,54341.617922,1.33532,0.018059,0.007346,0.005678,2,2.994201,0.99815,-0.001211
"SDSS17258",0.0901,0.091,0,18.818896,0.124187,0.316969,0.210491,0.027279,0.032557,9.647,0.181,54342.580001,0.645576,0.002077,0.001602,0.00014,2,35.738617,1.02576,-0.001027
"SDSS17274",0.17658,0.178,0,20.397033,0.1635,1.957731,0.536123,-0.136685,0.077192,8.963,0.141,54352.879758,2.336975,-0.013374,0.008604,-0.011383,2,-0.658497,0.105858,-0.001107
"SDSS17280",0.13045,0.13098,0,19.653248,0.147057,-0.839375,0.287151,-0.198044,0.050477,10.785,0.3045,54343.803287,0.929324,0.010458,0.004303,0.004365,2,55.791908,0.102471,-0.001242
"SDSS17332",0.18204,0.18286,0,20.680621,0.115898,-0.237165,0.267541,0.036489,0.033755,10.532,0.103,54358.077361,0.241959,0.005016,0.000948,0.000746,2,43.773479,-0.147425,-0.001072
"SDSS17340",0.25617,0.25709,0,21.318433,0.119755,-0.075475,0.430044,-0.006613,0.042745,11.229,0.095,54356.407457,0.392662,0.012366,0.001173,0.001825,2,41.21209,0.364833,-0.00045
"SDSS17366",0.13811,0.13929,0,19.554935,0.112284,0.567102,0.165926,-0.095614,0.022655,10.756,0.322,54351.464017,0.251076,0.001203,0.000493,0.000168,2,-44.212711,-1.029184,-0.001243
"SDSS17389",0.1707,0.172,0,20.780026,0.115438,1.13039,0.371505,0.058277,0.032568,9.793,0.1945,54352.993334,0.396311,0.006604,0.00088,0.001056,2,-36.705124,-0.96015,-0.001141
"SDSS17435",0.21674,0.218,0,20.709521,0.115124,0.90173,0.253993,-0.108869,0.034709,8.005,0.7075,54359.361579,0.296512,0.003835,0.000861,-6e-06,2,20.344587,-0.014803,-0.000799
"SDSS17464",0.24555,0.247,0,21.091966,0.116206,0.08144,0.566752,0.052687,0.040525,8.864,0.445,54358.584447,1.173957,0.00112,0.001058,-0.003485,2,6.640777,0.041985,-0.000542
"SDSS17497",0.14382,0.14473,0,20.04551,0.111949,0.911414,0.123176,0.037728,0.022481,10.129,0.2215,54364.735383,0.121128,0.000754,0.000479,0.000114,2,37.13657,-1.042117,-0.001237
"SDSS17552",0.24862,0.25,0,21.302566,0.11712,1.242872,0.405157,0.000278,0.041987,10.483,0.108,54357.267585,0.494621,0.007112,0.001051,0.000398,2,-37.679447,-1.003178,-0.000515
"SDSS17605",0.14533,0.14643,0,20.060753,0.119235,0.715631,0.440708,0.014894,0.037671,10.704,0.304,54352.592862,0.919738,-0.000341,0.001501,-0.000994,2,-50.79723,0.098444,-0.001235
"SDSS17629",0.13588,0.1369,0,20.059419,0.113673,-0.347675,0.145355,0.060305,0.026647,11.041,0.2025,54370.399613,0.111941,0.002142,0.000703,0.000639,2,30.636435,-1.089188,-0.001244
"SDSS17745",0.05874,0.06,0,17.862299,0.114585,1.071379,0.120922,-0.050084,0.025517,8.744,0.1095,54372.43381,0.1345,0.002014,0.000642,0.000421,2,2.960264,-0.339205,-0.00056
"SDSS17784",0.03652,0.03707,0,17.320514,0.115396,-0.728272,0.077428,0.060325,0.022264,9.099,0.1755,54367.036934,0.074744,0.000785,0.000449,4.3e-05,2,52.461727,0.056828,-3.5e-05
"SDSS17791",0.27749,0.279,0,21.739047,0.136665,0.247627,0.692367,-0.186998,0.060528,8.946,0.303,54366.713426,0.553463,0.042544,0.001982,0.011952,2,-27.626724,0.737893,-0.000284
